id,created_at,text
1.21307E+18,03/01/2020 12:21,RT @samdagher: This year hundreds of protesters were killed in #Iraq after #QassemSoleimani urged pro #Iran gov to use maximum force &amp; in #…
1.21308E+18,03/01/2020 12:44,"Iran never won a war, but never lost a negotiation!"
1.2131E+18,03/01/2020 13:54,"General Qassem Soleimani has killed or badly wounded thousands of Americans over an extended period of time, and was plotting to kill many more...but got caught! He was directly and indirectly responsible for the death of millions of people, including the recent large number...."
1.2131E+18,03/01/2020 13:54,"....of PROTESTERS killed in Iran itself. While Iran will never be able to properly admit it, Soleimani was both hated and feared within the country. They are not nearly as saddened as the leaders will let the outside world believe. He should have been taken out many years ago!"
1.21312E+18,03/01/2020 15:09,"....and more control over Iraq, and the people of Iraq are not happy with that. It will never end well!"
1.21313E+18,03/01/2020 16:03,"RT @JesseKellyDC: If you’ve been to a VA hospital in recent years and seen a young man missing limbs, there’s a reasonable chance Qasem Sol…"
1.21315E+18,03/01/2020 17:09,"....followed, and then it was withdrawn. The Democrats argument for impeachment has not gotten stronger over the last few weeks. As Senator Josh Hawley just said, he’s going to enter a Motion to Dismiss the Impeachment Trial because it’s never actually been brought to trial.”"
1.21315E+18,03/01/2020 17:27,"....followed, and then it was withdrawn. The Democrats argument for impeachment has not gotten stronger over the last few weeks. As Senator Josh Hawley just said, he’s going to enter a Motion to Dismiss the Impeachment Trial because it’s never actually been brought to trial.”"
1.2132E+18,03/01/2020 20:59,RT @WhiteHouse: A statement from President @realDonaldTrump: https://t.co/Jfy4GCLdif
1.21332E+18,04/01/2020 04:29,https://t.co/qOi7mpKcHY
1.21332E+18,04/01/2020 04:30,RT @realDonaldTrump: https://t.co/VXeKiVzpTf
1.21347E+18,04/01/2020 14:57,95% Approval Rating in the Republican Party. Thank you!
1.21359E+18,04/01/2020 22:16,"As hard as I work, &amp; as successful as our Country has become with our Economy, our Military &amp; everything else, it is ashame that the Democrats make us spend so much time &amp; money on this ridiculous Impeachment Lite Hoax. I should be able to devote all of my time to the REAL USA!"
1.21359E+18,04/01/2020 22:52,"Iran is talking very boldly about targeting certain USA assets as revenge for our ridding the world of their terrorist leader who had just killed an American, &amp; badly wounded many others, not to mention all of the people he had killed over his lifetime, including recently...."
